qtype,n_questions,signal,AUC_all_gold,AUC_answer_bearing,AUC_bridge_only,deficit
bridge,543,s_emb,0.8453667079223712,0.7964147194674638,0.9273552600143347,0.13094054054687088
bridge,543,s_ent_oracle,0.6630351013741977,0.6626793234614862,0.6636309855629757,0.0009516621014895588
bridge,543,s_ent_slot,0.6383637647319017,0.6047979214780601,0.6945824184575479,0.08978449697948776
bridge,543,s_str_chunk_white,0.6104992578226345,0.5595647670153512,0.6958082572042914,0.13624349018894022
comparison,157,s_emb,0.9706469188857341,0.9722830716806621,0.9694602586168852,-0.0028228130637768523
comparison,157,s_ent_oracle,0.5640421558846853,0.6126445174637946,0.5287920914426938,-0.08385242602110077
comparison,157,s_ent_slot,0.556073977438416,0.6158269441401971,0.5127366609294322,-0.10309028321076497
comparison,157,s_str_chunk_white,0.6522446473793261,0.602701715954728,0.6881768833576063,0.0854751674028783
