signal,AUC_all_gold,AUC_answer_bearing,AUC_bridge_only,lift_bearing_over_bridge
s_emb,0.876482062780269,0.8344651969338841,0.9345053537109912,-0.10004015677710709
s_ent_oracle,0.6407396540679051,0.6452179195475932,0.634555382691193,0.010662536856400173
s_ent_answer,0.6253928251121076,0.6023660783317502,0.6571916659040298,-0.05482558757227962
s_ent_slot,0.6202401024983983,0.600094325034792,0.6480604618529026,-0.04796613681811057
s_ent_raw,0.6010434336963484,0.597569418365769,0.6058408834385772,-0.008271465072808182
s_str_chunk_white,0.6203005124919924,0.5693148733128631,0.6907092523107898,-0.12139437899792671
s_str_chunk_raw,0.6049342088404869,0.5524178797852834,0.6774567584881486,-0.12503887870286512
s_str_sent_white,0.5951624599615631,0.5360662926064195,0.6767714529758092,-0.14070516036938974
s_str_sent_raw,0.5919718129404228,0.527281362521814,0.6813062444708826,-0.1540248819490686
