n_hops,n_questions,signal,AUC_all,AUC_answer_bearing,AUC_bridge_only
2,259,s_emb,0.819324978591388,0.7198125876286796,0.9203862005418426
2,259,s_ent_slot,0.5897385250667104,0.5783098369305266,0.6013450916174652
2,259,s_ent_oracle,0.6446414699310452,0.6896954425690058,0.5988862681469685
3,163,s_emb,0.7795286032601629,0.7207525089542182,0.8089166504131352
3,163,s_ent_slot,0.550049056113101,0.6040262952586971,0.5230604365403028
3,163,s_ent_oracle,0.6061880149414282,0.6813251356431079,0.5686194545905884
4,78,s_emb,0.676687828731098,0.615867439184747,0.696961291913215
4,78,s_ent_slot,0.5422547871466141,0.6122205785667324,0.5189328566732413
4,78,s_ent_oracle,0.5924042570677186,0.7044501972386588,0.5550556103440719
