prompt,dataset,generator,config,n,EM,CI_lo,CI_hi,F1,gold_recall
gen_v3,musique,Qwen2.5-0.5B-Instruct,B4,259,2.7027027027027026,1.3152139011308006,5.472752691676426,0.12152760695662378,0.6023166023166023
gen_v3,musique,Qwen2.5-0.5B-Instruct,B2,259,1.9305019305019304,0.8273324839959948,4.438804991959104,0.10589647547056552,0.5444015444015444
gen_v3,musique,Qwen2.5-0.5B-Instruct,SET,259,1.5444015444015444,0.6021741998008371,3.9030487177281983,0.08640109064936442,0.4111969111969112
gen_v3,musique,Qwen2.5-0.5B-Instruct,COND,259,1.1583011583011582,0.39468710701741005,3.3496212520855626,0.09634934880724581,0.5135135135135135
gen_v3,musique,Qwen2.5-0.5B-Instruct,PC,259,0.7722007722007722,0.21201692749995715,2.7713768731769526,0.08188989845478332,0.35135135135135137
gen_v3,musique,Qwen2.5-3B-Instruct,B5,259,42.857142857142854,36.97786924887473,48.94521142024309,0.5652406217871114,1.0
gen_v3,musique,Qwen2.5-3B-Instruct,B1,259,19.305019305019304,14.960965815648056,24.546326789479895,0.3222378917625098,0.7432432432432432
gen_v3,musique,Qwen2.5-3B-Instruct,B4,259,18.53281853281853,14.27272488208522,23.7127386061906,0.2953881306822483,0.6023166023166023
gen_v3,musique,Qwen2.5-3B-Instruct,COND,259,17.374517374517374,13.246006700318619,22.456713112679022,0.2833424808214724,0.5135135135135135
gen_v3,musique,Qwen2.5-3B-Instruct,SET,259,17.374517374517374,13.246006700318619,22.456713112679022,0.26240160273773716,0.4111969111969112
gen_v3,musique,Qwen2.5-3B-Instruct,B2,259,15.444015444015443,11.551185153159185,20.34696186770813,0.26639036386935544,0.5444015444015444
gen_v3,musique,Qwen2.5-3B-Instruct,PC,259,11.196911196911197,7.909919242937878,15.618167635242742,0.21696955982670268,0.35135135135135137
