dataset,criterion,frac_gold_answer_bearing,emb_answer_bearing,emb_bridge_only,emb_deficit,ent_answer_bearing,ent_bridge_only
2wiki,ab_exact,0.3683360258481422,0.8398190119104246,0.7875942763208882,-0.05222473558953644,0.5484717908540624,0.5074782010439569
2wiki,ab_alias,0.3683360258481422,0.8398190119104246,0.7875942763208882,-0.05222473558953644,0.5484717908540624,0.5074782010439569
2wiki,ab_overlap,0.36995153473344106,0.8439346347873123,0.7850437574121785,-0.05889087737513388,0.5489472987749247,0.5070938807780913
hotpotqa,ab_exact,0.584,0.8491228024899091,0.941049914980774,0.09192711249086483,0.6349311627490855,0.6552802494541379
hotpotqa,ab_alias,0.584,0.8491228024899091,0.941049914980774,0.09192711249086483,0.6349311627490855,0.6552802494541379
hotpotqa,ab_overlap,0.58,0.8491342497553032,0.9401586105429361,0.09102436078763299,0.638292666025691,0.6504443726749679
musique,ab_exact,0.38059135708870356,0.7016276906662358,0.7983913372297539,0.0967636465635181,0.5896733416644553,0.540971936801597
musique,ab_alias,0.4048521607278241,0.707731592135781,0.7981836344339519,0.09045204229817094,0.5896222139932829,0.5390214364459216
musique,ab_overlap,0.37907505686125853,0.7021239917031574,0.7978520480825159,0.09572805637935844,0.5917464853652915,0.5398252102561851
