dataset,n_questions,signal,AUC_all,AUC_answer_bearing,AUC_bridge_only,deficit
2wiki,500,s_emb,0.8068305278789081,0.8398190119104246,0.7875942763208882,-0.05222473558953644
2wiki,500,s_ent_slot,0.5225776169998599,0.5484717908540624,0.5074782010439569,-0.04099358981010548
2wiki,500,s_ent_oracle,0.6136342164953679,0.6561342884057566,0.588851565867315,-0.06728272253844159
hotpotqa,500,s_emb,0.887364481286109,0.8491228024899091,0.941049914980774,0.09192711249086483
hotpotqa,500,s_ent_slot,0.6433963828183874,0.6349311627490855,0.6552802494541379,0.02034908670505242
hotpotqa,500,s_ent_oracle,0.6689291635267521,0.6806552012470193,0.6524676105733,-0.02818759067371923
musique,500,s_emb,0.7615639296672929,0.7016276906662358,0.7983913372297539,0.0967636465635181
musique,500,s_ent_slot,0.5595072705704787,0.5896733416644553,0.540971936801597,-0.04870140486285823
musique,500,s_ent_oracle,0.6318305804452485,0.6884958437740165,0.5970130012640471,-0.09148284250996941
