embedder,AUC_all,AUC_answer_bearing,AUC_bridge_only,deficit
BAAI/bge-small-en-v1.5,0.8769351793580867,0.8271495351502278,0.9436071824200737,0.11645764726984587
intfloat/e5-base-v2,0.8617920075519195,0.8158876116092899,0.9232663155686573,0.10737870395936744
thenlper/gte-base,0.8502517306482062,0.785946504489105,0.9363680861478219,0.15042158165871689
